Clave,Municipio o demarcación territorial,1990,2000,2010,2020,1990-2000,2000-2010,2010-2020,Superficie (km2),DMU (hab/ha)
00000,Zona Metropolitana de la Ciudad de México,15337125,18096772,19769713,21436911,1.7,0.9,0.8,6070.3,161.3
09002,Azcapotzalco,474688,441008,414711,432205,-0.7,-0.6,0.4,33.5,189.8
09003,Coyoacán,640066,640423,620416,614447,0.0,-0.3,-0.1,53.9,192.5
09004,Cuajimalpa de Morelos,119669,151222,186391,217686,2.4,2.0,1.6,71.2,90.9
09005,Gustavo A. Madero,1268068,1235542,1185772,1173351,-0.3,-0.4,-0.1,87.9,195.1
09006,Iztacalco,448322,411321,384326,404695,-0.9,-0.7,0.5,23.1,218.9
09007,Iztapalapa,1490499,1773343,1815786,1835486,1.8,0.2,0.1,113.2,216.0
09008,La Magdalena Contreras,195041,222050,239086,247622,1.3,0.7,0.4,63.4,163.1
09009,Milpa Alta,63654,96773,130582,152685,4.3,2.9,1.6,298.2,51.7
09010,Álvaro Obregón,642753,687020,727034,759137,0.7,0.5,0.4,95.9,189.2
09011,Tláhuac,206700,302790,360265,392313,3.9,1.7,0.9,85.9,135.9
09012,Tlalpan,484866,581781,650567,699928,1.9,1.1,0.8,314.5,122.8
09013,Xochimilco,271151,369787,415007,442178,3.2,1.1,0.7,114.1,91.8
09014,Benito Juárez,407811,360478,385439,434153,-1.2,0.7,1.2,26.7,180.1
09015,Cuauhtémoc,595960,516255,531831,545884,-1.4,0.3,0.3,32.5,231.5
09016,Miguel Hidalgo,406868,352640,372889,414470,-1.4,0.5,1.1,46.4,210.2
09017,Venustiano Carranza,519628,462806,430978,443704,-1.2,-0.7,0.3,33.9,220.6
13013,Atotonilco de Tula,19327,24848,31078,62470,2.6,2.2,7.4,122.3,59.3
13069,Tizayuca,30293,46344,97461,168302,4.4,7.5,5.8,76.8,69.8
15002,Acolman,43276,61250,136558,171507,3.6,8.1,2.4,86.9,94.8
15011,Atenco,21219,34435,56243,75489,5.0,4.9,3.1,87.6,63.0
15013,Atizapán de Zaragoza,315192,467886,489937,523674,4.1,0.4,0.7,92.9,135.0
15020,Coacalco de Berriozábal,152082,252555,278064,293444,5.2,0.9,0.6,35.0,167.4
15022,Cocotitlán,8068,10205,12142,15107,2.4,1.7,2.3,14.8,56.0
15023,Coyotepec,24451,35358,39030,40885,3.8,1.0,0.5,39.9,46.2
15024,Cuautitlán,48858,75836,140059,178847,4.5,6.1,2.5,40.9,129.9
15025,Chalco,282940,217972,310130,400057,-2.6,3.5,2.6,225.2,105.8
15028,Chiautla,14764,19620,26191,30045,2.9,2.8,1.4,20.1,24.7
15029,Chicoloapan,57306,77579,175053,200750,3.1,8.2,1.4,41.3,167.2
15030,Chiconcuac,14179,17972,22819,27692,2.4,2.3,2.0,6.8,57.0
15031,Chimalhuacán,242317,490772,614453,705193,7.4,2.2,1.4,54.8,167.5
