Clave entidad,"Entidad
federativa",Clave municipio,Municipio,Población total,Población de 15 años o más analfabeta,Población de 6 a 14 años que no asiste a la escuela,Población de 15 años y más con educación básica incompleta,Población sin derechohabiencia a servicios de salud,Viviendas con piso de tierra,Viviendas que no disponen de excusado o sanitario,Viviendas que no disponen de agua entubada de la red pública,Viviendas que no disponen de drenaje,Viviendas que no disponen de energía eléctrica,Viviendas que no disponen de lavadora,Viviendas que no disponen de refrigerador,Índice de rezago social,Grado de rezago social,Lugar que ocupa en el contexto nacional
01,Aguascalientes,01001,Aguascalientes,"643,419",3.9,5.6,43.0,35.6,2.3,3.3,2.1,2.7,1.3,19.4,12.1,-1.93744,Muy bajo,"2,415"
01,Aguascalientes,01002,Asientos,"37,763",7.4,9.2,67.3,67.2,10.2,22.7,9.9,21.0,6.3,38.4,42.5,-0.86559,Muy bajo,"1,898"
01,Aguascalientes,01003,Calvillo,"51,291",8.2,12.2,72.3,82.5,4.9,6.7,6.0,6.3,2.8,35.6,26.1,-1.00075,Muy bajo,"2,008"
01,Aguascalientes,01004,Cosío,"12,619",6.2,7.5,62.0,60.5,6.0,13.6,8.5,8.3,2.9,42.4,40.3,-1.14253,Muy bajo,"2,087"
01,Aguascalientes,01005,Jesús María,"64,097",6.6,9.6,63.9,47.0,6.9,8.6,5.2,7.0,3.3,28.4,23.6,-1.37606,Muy bajo,"2,225"
01,Aguascalientes,01006,Pabellón de Arteaga,"34,296",6.2,7.6,52.9,47.6,3.7,8.5,3.5,6.1,2.6,27.9,28.7,-1.51693,Muy bajo,"2,284"
01,Aguascalientes,01007,Rincón de Romos,"41,655",7.0,7.1,53.8,56.6,6.3,11.0,7.5,9.5,3.7,36.4,32.6,-1.31572,Muy bajo,"2,183"
01,Aguascalientes,01008,San José de Gracia,"7,244",5.0,9.7,61.7,69.3,4.2,32.5,5.2,28.6,6.1,52.5,44.2,-0.80403,Muy bajo,"1,854"
01,Aguascalientes,01009,Tepezalá,"16,508",7.1,8.2,67.3,67.3,6.5,18.8,5.7,16.7,4.2,37.8,42.0,-0.98480,Muy bajo,"1,993"
01,Aguascalientes,01010,El Llano,"15,327",8.6,9.7,69.0,60.8,11.2,26.8,5.7,24.7,8.3,47.4,46.7,-0.75501,Muy bajo,"1,815"
01,Aguascalientes,01011,San Francisco de los Romo,"20,066",8.0,8.3,65.8,50.9,3.8,8.4,2.1,5.7,2.1,25.7,26.3,-1.38775,Muy bajo,"2,232"
02,Baja California,02001,Ensenada,"370,730",5.6,9.0,48.0,37.3,5.9,8.0,10.9,25.7,5.9,28.7,17.4,-1.50857,Muy bajo,"2,276"
02,Baja California,02002,Mexicali,"764,602",3.4,5.7,40.9,33.7,4.2,4.3,5.6,18.9,1.5,17.0,5.5,-1.91527,Muy bajo,"2,411"
02,Baja California,02003,Tecate,"77,795",4.0,7.1,49.6,37.5,4.0,6.0,19.5,15.0,5.3,27.0,11.6,-1.61229,Muy bajo,"2,322"
02,Baja California,02004,Tijuana,"1,210,820",2.9,8.4,44.9,40.6,5.2,6.7,12.3,15.3,2.5,34.9,11.5,-1.62980,Muy bajo,"2,330"
02,Baja California,02005,Playas de Rosarito,"63,420",4.1,8.4,53.4,48.0,4.7,8.5,32.7,19.3,4.9,37.9,14.7,-1.32316,Muy bajo,"2,189"
03,Baja California Sur,03001,Comondú,"63,864",7.0,5.9,54.0,47.8,14.6,7.1,10.1,35.8,4.4,47.0,21.1,-1.22938,Muy bajo,"2,135"
03,Baja California Sur,03002,Mulegé,"45,989",5.4,8.4,54.6,39.6,13.9,12.6,18.9,28.4,6.8,39.0,22.1,-1.23961,Muy bajo,"2,142"
03,Baja California Sur,03003,La Paz,"196,907",3.2,4.5,37.5,35.6,7.2,5.4,10.7,13.2,4.4,43.0,13.1,-1.72365,Muy bajo,"2,361"
03,Baja California Sur,03008,Los Cabos,"105,469",3.8,6.1,46.6,40.4,13.0,11.9,16.1,16.7,7.2,53.7,24.7,-1.33251,Muy bajo,"2,198"
03,Baja California Sur,03009,Loreto,"11,812",4.4,5.4,52.7,42.6,18.4,9.6,11.3,24.7,6.2,41.0,24.1,-1.32430,Muy bajo,"2,190"
04,Campeche,04001,Calkiní,"46,899",18.2,6.7,59.6,73.0,20.5,49.6,15.1,56.8,6.1,66.4,63.4,-0.17459,Bajo,"1,374"
04,Campeche,04002,Campeche,"216,897",7.2,4.9,46.2,40.8,5.2,9.7,7.9,16.5,3.6,36.1,27.6,-1.52067,Muy bajo,"2,286"
04,Campeche,04003,Carmen,"172,076",8.2,8.5,52.6,53.8,12.2,10.1,26.4,22.9,5.8,36.7,29.6,-1.13444,Muy bajo,"2,082"
04,Campeche,04004,Champotón,"70,554",16.5,9.4,70.1,69.6,13.1,23.0,21.5,51.3,8.7,57.6,57.9,-0.31249,Bajo,"1,478"
04,Campeche,04005,Hecelchakán,"24,889",15.8,6.5,61.1,71.7,15.1,37.7,23.6,65.2,8.6,64.1,65.7,-0.19518,Bajo,"1,390"
04,Campeche,04006,Hopelchén,"31,214",18.5,12.0,74.1,84.5,15.3,48.1,18.6,72.3,13.8,63.2,70.2,0.23795,Medio,"1,028"
04,Campeche,04007,Palizada,"8,401",13.3,11.5,69.6,77.3,26.5,11.5,41.3,53.3,8.4,60.0,51.3,-0.18472,Bajo,"1,381"
04,Campeche,04008,Tenabo,"8,400",16.5,8.8,65.7,78.1,13.6,64.4,12.8,79.1,9.1,57.5,63.7,0.03092,Medio,"1,206"
04,Campeche,04009,Escárcega,"50,563",16.7,10.5,71.5,78.8,25.2,20.9,12.5,52.2,13.6,63.7,56.8,-0.13963,Medio,"1,342"
04,Campeche,04010,Calakmul,"23,115",25.7,10.9,85.5,93.0,52.7,28.0,78.5,86.2,40.7,88.5,85.2,1.32385,Alto,252
04,Campeche,04011,Candelaria,"37,681",19.5,11.8,80.6,91.6,43.3,31.9,42.8,72.4,34.2,77.9,71.9,0.78232,Alto,570
05,Coahuila,05001,Abasolo,"1,126",4.7,7.1,51.6,62.3,1.5,4.1,4.1,27.1,4.4,23.2,9.4,-1.51779,Muy bajo,"2,285"
05,Coahuila,05002,Acuña,"110,487",3.5,8.2,51.8,23.2,9.7,9.1,8.0,26.7,3.7,37.6,18.1,-1.54129,Muy bajo,"2,292"
05,Coahuila,05003,Allende,"20,943",4.0,6.7,52.9,30.5,2.4,3.9,6.7,27.0,1.8,21.5,6.7,-1.74355,Muy bajo,"2,371"
05,Coahuila,05004,Arteaga,"19,374",9.7,9.0,68.6,44.7,11.8,12.5,18.5,41.7,5.6,37.7,37.5,-0.91996,Muy bajo,"1,949"
05,Coahuila,05005,Candela,"1,677",12.9,9.4,71.5,53.1,8.5,5.6,7.6,50.1,6.6,43.3,20.6,-0.91738,Muy bajo,"1,946"
05,Coahuila,05006,Castaños,"22,530",4.2,4.2,50.4,26.2,3.2,10.5,15.6,46.5,4.9,31.8,14.6,-1.53698,Muy bajo,"2,290"
05,Coahuila,05007,Cuatro Ciénegas,"12,154",7.4,7.1,59.5,44.4,12.1,10.4,13.8,40.4,5.8,45.8,30.6,-1.08278,Muy bajo,"2,052"
05,Coahuila,05008,Escobedo,"2,784",7.0,6.2,66.6,71.0,6.7,9.7,6.9,72.2,4.6,37.1,20.2,-0.91581,Muy bajo,"1,944"
05,Coahuila,05009,Francisco I. Madero,"46,452",6.7,7.7,56.3,39.1,10.8,10.6,6.1,41.9,1.7,37.9,22.9,-1.29620,Muy bajo,"2,179"
05,Coahuila,05010,Frontera,"66,579",3.6,4.7,45.3,23.3,2.9,4.8,6.0,21.3,1.5,24.4,9.3,-1.88134,Muy bajo,"2,403"
05,Coahuila,05011,General Cepeda,"11,316",11.8,8.2,71.0,49.2,8.9,22.3,11.2,56.7,5.7,58.3,40.4,-0.65960,Bajo,"1,745"
05,Coahuila,05012,Guerrero,"2,050",9.0,15.0,72.0,42.8,6.6,6.9,19.7,49.4,7.3,46.4,18.2,-0.87261,Muy bajo,"1,908"
05,Coahuila,05013,Hidalgo,"1,441",10.8,7.9,70.5,72.9,10.4,9.1,8.6,65.0,13.1,55.9,30.5,-0.57772,Bajo,"1,665"
05,Coahuila,05014,Jiménez,"9,724",6.4,12.1,81.3,42.2,10.7,14.3,51.3,77.2,9.7,36.7,20.4,-0.56378,Bajo,"1,655"
05,Coahuila,05015,Juárez,"1,610",5.4,7.3,66.1,69.3,9.7,12.0,30.2,60.4,19.1,42.5,30.2,-0.64686,Bajo,"1,735"
05,Coahuila,05016,Lamadrid,"1,781",6.2,4.2,51.6,51.6,2.5,7.2,5.3,48.1,3.2,36.4,18.4,-1.38026,Muy bajo,"2,228"
05,Coahuila,05017,Matamoros,"92,029",6.6,6.8,54.2,38.9,11.1,12.6,5.5,31.6,2.1,37.2,21.0,-1.37674,Muy bajo,"2,226"
05,Coahuila,05018,Monclova,"193,744",2.7,4.1,36.8,22.2,1.7,3.2,6.0,10.9,0.9,18.0,6.6,-2.09995,Muy bajo,"2,431"
05,Coahuila,05019,Morelos,"7,263",4.1,4.6,52.2,29.0,3.3,8.1,7.1,37.2,2.4,21.5,8.1,-1.70348,Muy bajo,"2,358"
05,Coahuila,05020,Múzquiz,"62,773",5.0,6.1,52.3,22.8,3.4,6.4,6.1,29.5,2.3,23.8,11.0,-1.72630,Muy bajo,"2,363"
05,Coahuila,05021,Nadadores,"5,946",5.6,6.3,47.2,33.6,6.2,6.0,6.4,54.2,3.0,30.3,14.1,-1.51544,Muy bajo,"2,283"
05,Coahuila,05022,Nava,"23,019",3.8,6.8,55.3,19.5,6.8,5.6,9.0,33.3,3.4,25.9,10.9,-1.65722,Muy bajo,"2,340"
05,Coahuila,05023,Ocampo,"12,053",6.9,9.6,63.8,43.9,11.6,15.5,40.5,40.0,12.2,53.7,44.1,-0.70139,Bajo,"1,775"
05,Coahuila,05024,Parras,"43,339",7.2,6.3,51.6,37.2,13.5,18.7,15.4,28.5,3.0,40.8,26.4,-1.27831,Muy bajo,"2,171"
05,Coahuila,05025,Piedras Negras,"128,130",3.2,6.5,45.7,24.6,3.7,4.3,4.8,11.1,1.5,23.1,7.4,-1.91328,Muy bajo,"2,410"
05,Coahuila,05026,Progreso,"3,608",7.3,8.8,72.7,39.1,9.1,5.1,18.3,71.6,4.0,34.5,15.9,-1.01335,Muy bajo,"2,012"
05,Coahuila,05027,Ramos Arizpe,"39,853",5.7,5.9,49.4,17.6,7.6,7.8,13.2,21.8,3.6,30.0,19.1,-1.66246,Muy bajo,"2,342"
05,Coahuila,05028,Sabinas,"52,379",3.4,5.3,45.1,26.5,2.7,4.9,6.3,13.9,1.4,19.5,6.1,-1.93316,Muy bajo,"2,414"
05,Coahuila,05029,Sacramento,"2,006",6.0,6.1,49.9,27.8,7.2,5.4,3.6,57.2,2.8,37.8,22.5,-1.43893,Muy bajo,"2,250"
05,Coahuila,05030,Saltillo,"578,046",3.2,4.6,36.6,23.7,2.8,5.5,6.5,7.1,1.3,20.1,11.8,-2.03330,Muy bajo,"2,426"
05,Coahuila,05031,San Buenaventura,"20,046",3.7,6.0,43.0,30.3,2.6,3.7,5.3,28.7,2.1,24.9,9.9,-1.80807,Muy bajo,"2,390"
05,Coahuila,05032,San Juan de Sabinas,"40,138",2.7,4.7,43.9,21.5,2.5,4.1,5.5,13.0,1.8,15.9,5.7,-2.02353,Muy bajo,"2,425"
05,Coahuila,05033,San Pedro,"88,343",7.9,6.4,59.8,50.0,13.0,10.2,8.7,36.9,3.3,40.0,28.5,-1.15242,Muy bajo,"2,092"
05,Coahuila,05034,Sierra Mojada,"6,023",5.9,6.1,59.5,25.9,9.1,13.0,18.8,29.8,3.9,32.7,24.8,-1.37145,Muy bajo,"2,221"
05,Coahuila,05035,Torreón,"529,512",2.6,5.4,36.7,29.9,3.7,4.1,2.5,5.5,0.7,21.1,8.1,-2.03499,Muy bajo,"2,427"
05,Coahuila,05036,Viesca,"18,969",9.7,7.9,69.0,53.5,16.9,21.3,7.6,59.7,3.8,52.7,35.3,-0.71802,Muy bajo,"1,787"
